效果名	分组	判定	亮度比中位	|ln|	置信度	峰值亮点	原版有内容时段	导出有内容时段	寿命差异	单帧旧判定	单帧L1	技术构成	人工备注
BulletImpact_DynamiteBundle_Throw	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	14	—	—		对得上	0.0002	Mesh粒子 精灵图 多发射器(14) Matcap	
BulletImpact_Eldar_Lasblaster	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	23	—	—		两边都空	0.0000	精灵图 多发射器(16) 抓屏扭曲	
BulletImpact_FlamethrowerSororitas	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	1	—	—		两边都空	0.0000	精灵图 多发射器(12)	
BulletImpact_FlamethrowerSororitas_twinlink	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	2	—	—		两边都空	0.0000	精灵图 多发射器(24)	
BulletImpact_FusionGun	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	44	—	—		对得上	0.0003	精灵图 多发射器(19)	
BulletImpact_Kroot_KrootPistol	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	22	—	—		两边都空	0.0000	精灵图 多发射器(13)	
BulletImpact_Kroot_RepeaterCannon OLD	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	58	—	—		对得上	0.0001	精灵图 多发射器(26)	
BulletImpact_Lascannon	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	38	—	—		对得上	0.0007	精灵图 多发射器(19)	
BulletImpact_LongRifle_trail	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	4	—	—		两边都空	0.0000	精灵图 多发射器(12) 抓屏扭曲	
BulletImpact_Needle gun_1shot	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	2	—	—		两边都空	0.0000	精灵图 多发射器(12)	
BulletImpact_Ork Missiles 2	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	45	—	—		对得上	0.0001	Mesh粒子 精灵图 多发射器(21)	
BulletImpact_RiftCannon	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	12	—	—		对得上	0.0000	精灵图 多发射器(16) 抓屏扭曲	
BulletImpact_SaboteurExplosive	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	52	—	—		对得上	0.0000	精灵图 多发射器(16) Matcap/抓屏扭曲	
BulletImpact_Shuriken_Long	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	35	—	—		只有原版有	0.0000	精灵图 多发射器(15)	
BulletImpact_Shuriken_Pistol	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	3	—	—		两边都空	0.0000	精灵图 多发射器(13)	
BulletImpact_Shuriken_Short	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	24	—	—		两边都空	0.0000	精灵图 多发射器(13)	
BulletImpact_Shuriken_Short_twinlink	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	46	—	—		两边都空	0.0000	精灵图 多发射器(26)	
BulletImpact_Sororitas_Melta	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	59	—	—		只有原版有	0.0002	精灵图 多发射器(17) 抓屏扭曲	
BulletImpact_Sororitas_MissileVolley	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(22) Matcap/抓屏扭曲/拖尾	
BulletImpact_Sororitas_MissileVolley_MoveAnim	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(38) Matcap/抓屏扭曲/拖尾	
BulletImpact_Sororitas_MissileVolley_board_down	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(16) Matcap/抓屏扭曲/拖尾	
BulletImpact_Sororitas_MissileVolley_board_up	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(22) Matcap/抓屏扭曲/拖尾	
BulletImpact_Sororitas_MultiMelta	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	59	—	—		只有原版有	0.0002	精灵图 多发射器(27) 抓屏扭曲	
BulletImpact_Sororitas_SaintCelestine	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	16	—	—		只有原版有	0.0001	精灵图 多发射器(18) 抓屏扭曲	
BulletImpact_Tau_Burst Cannon	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	35	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(20)	
BulletImpact_Tau_Burst Cannon_short	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	34	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(20)	
BulletImpact_Tau_FusionBlaster	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	24	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(20)	
BulletImpact_Tau_FusionBlaster Dual	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	8	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(40)	
BulletImpact_Tau_GravPulse	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	41	—	—		两边都空	0.0000	精灵图 多发射器(10) 抓屏扭曲	
BulletImpact_Tau_IonAccelerator	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	23	—	—		对得上	0.0000	精灵图 多发射器(48)	
BulletImpact_Tau_Pulse Blaster	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	46	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(17)	
BulletImpact_Tau_Pulse Carbine	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	30	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(14)	
BulletImpact_Tau_Pulse Carbine Dual OLD	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	53	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(24)	
BulletImpact_Tau_Pulse Carbine OLD	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	50	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(12)	
BulletImpact_Tau_Pulse Drone Dual	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	40	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(24)	
BulletImpact_Tau_Pulse Pistol	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	6	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(14)	
BulletImpact_Tau_Pulse Rifle	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	24	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(14)	
BulletImpact_Tau_Pulse Rifle Dual	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	38	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(28)	
BulletImpact_Tau_PulseARCcannon	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	42	—	—		偏暗	0.0003	精灵图 多发射器(23) 抓屏扭曲	
BulletImpact_Tau_Rail Rifle	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	32	—	—		两边都空	0.0000	精灵图 多发射器(17) 抓屏扭曲	
BulletImpact_Tyranid_Stranglethorn	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	3	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(14) 拖尾	
BulletImpact_autocannon_Firestrike	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	45	—	—		偏亮	0.0001	精灵图 多发射器(26)	
BulletImpact_autogun_1shot	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	21	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(14) Matcap	
BulletImpact_autogun_1shotSniper	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	56	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(22) Matcap/抓屏扭曲	
BulletImpact_autogun_2shot	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	25	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(14) Matcap	
BulletImpact_autogun_3shot	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	26	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(14) Matcap	
BulletImpact_autogun_4shot	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	23	—	—		只有原版有	0.0000	Mesh粒子 精灵图 多发射器(14) Matcap	
BulletImpact_autogun_6shot	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	50	—	—		对得上	0.0000	Mesh粒子 精灵图 多发射器(14) Matcap	
BulletImpact_autogun_8shot	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	47	—	—		偏亮	0.0000	Mesh粒子 精灵图 多发射器(14) Matcap	
BulletImpact_autogun_liberator_1shot	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	19	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(19) Matcap/抓屏扭曲	
BulletImpact_autogun_liberator_repeat	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	44	—	—		对得上	0.0000	Mesh粒子 精灵图 多发射器(38) Matcap/抓屏扭曲	
BulletImpact_noisemarine	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	44	—	—		两边都空	0.0000	精灵图 多发射器(15) 抓屏扭曲	
BulletImpact_stormbolter_4shots_Logan_AA	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	39	—	—		对得上	0.0001	Mesh粒子 精灵图 多发射器(32) Matcap	
BulletImpact_tank_small	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	32	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(12) Matcap/抓屏扭曲	
BulletTrail	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	48	—	—		对得上	0.0002	Mesh粒子 精灵图 多发射器(41)	
BulletTrail_Stormraven	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(10) Matcap	
BulletTrail_Stormraven_Single	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(10) Matcap	
CardDisappear	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	精灵图 6发射器	
CrueltyEffect	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	44	—	—		两边都空	0.0000	精灵图 7发射器 Sprite	
EC Heldrake Attack	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	52	—	—		偏亮	0.0003	Mesh粒子 精灵图 多发射器(8) Matcap/UI/文字	
EC Heldrake Rally	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	2	—	—		对得上	0.0000	Mesh粒子 精灵图 多发射器(10) Matcap/UI/文字	
Emperors Children Summon	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	4	—	—		两边都空	0.0000	精灵图 多发射器(17) 抓屏扭曲	
Explosion_BombQuick	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	精灵图 多发射器(9) 抓屏扭曲	
Explosion_BombQuick_triple	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	精灵图 多发射器(9) 抓屏扭曲	
Explosion_ConcealedExplosives	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	精灵图 多发射器(55)	
Explosion_GroundBreak	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	16	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(11) Matcap/抓屏扭曲	
Fire_Board	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	40	—	—		对得上	0.0004	精灵图 4发射器	
FlamethrowerBurna	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	48	—	—		对得上	0.0000	精灵图 7发射器 Sprite	
FlamethrowerSingleAttack_1	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	42	—	—		对得上	0.0001	精灵图 5发射器 Sprite	
FlamethrowerSingleAttack_2	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	33	—	—		对得上	0.0000	精灵图 7发射器 Sprite	
GSC Rockfall	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(18) Matcap	
GuardSummon	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	精灵图 2发射器	
HeldrakeStrike	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(9) Matcap	
Hexmark_Artifice_Deal1	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	5	—	—		两边都空	0.0000	精灵图 多发射器(9)	
Hunta Rig Harpoon Hand	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	9	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(11) Matcap/Sprite	
Invoke Minion Card Fade Default	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	精灵图 4发射器	
Laser_Red	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	4	—	—		两边都空	0.0000	精灵图 多发射器(10)	
Lasrifle Offscreen Target	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	精灵图 7发射器 抓屏扭曲	
Lasrifle_3shots	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	3	—	—		两边都空	0.0000	精灵图 多发射器(14) 抓屏扭曲	
Lasrifle_Hotshot_2shots	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	17	—	—		只有原版有	0.0093	精灵图 多发射器(17) 抓屏扭曲	
Lasrifle_Hotshot_3shots	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	17	—	—		只有原版有	0.0001	精灵图 多发射器(17) 抓屏扭曲	
Lasrifle_Hotshot_auto_burst	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	12	—	—		只有原版有	0.0000	精灵图 多发射器(17) 抓屏扭曲	
Lasrifle_Hotshot_basic	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	17	—	—		两边都空	0.0000	精灵图 多发射器(17) 抓屏扭曲	
Lasrifle_Hotshot_pistol	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	7	—	—		两边都空	0.0000	精灵图 多发射器(17) 抓屏扭曲	
Lasrifle_auto	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	8	—	—		两边都空	0.0000	精灵图 多发射器(16) 抓屏扭曲	
Lasrifle_auto OLD	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	3	—	—		两边都空	0.0000	精灵图 多发射器(14) 抓屏扭曲	
Lasrifle_basic	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	13	—	—		两边都空	0.0000	精灵图 多发射器(16) 抓屏扭曲	
Lasrifle_basic OLD	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	2	—	—		两边都空	0.0000	精灵图 多发射器(14) 抓屏扭曲	
Lasrifle_hellpistol	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	4	—	—		两边都空	0.0000	精灵图 多发射器(14) 抓屏扭曲	
Lasrifle_laspistol	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	7	—	—		只有原版有	0.0001	精灵图 多发射器(16) 抓屏扭曲	
Lasrifle_laspistol OLD	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	4	—	—		两边都空	0.0000	精灵图 多发射器(14) 抓屏扭曲	
Lasrifle_laspistol_Ursula_AA	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	6	—	—		两边都空	0.0000	精灵图 多发射器(16)	
Lasrifle_laspistol_quick	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	8	—	—		只有原版有	0.0001	精灵图 多发射器(16) 抓屏扭曲	
Lasrifle_offscreen	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	7	—	—		两边都空	0.0000	精灵图 多发射器(12) 抓屏扭曲	
Lasrifle_offscreen_1x	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	10	—	—		两边都空	0.0000	精灵图 6发射器 抓屏扭曲	
Lasrifle_offscreen_5x	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	7	—	—		两边都空	0.0000	精灵图 6发射器 抓屏扭曲	
MarkOfKhorne_enchantment	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	17	—	—		偏暗	0.0000	精灵图 4发射器	
Meteor Angled	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	精灵图 5发射器	
Mining_Laser	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	15	—	—		两边都空	0.0000	精灵图 多发射器(12)	
NecronGauss	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	4	—	—		两边都空	0.0000	精灵图 多发射器(12)	
NecronGauss_Damaged Hexmark	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	17	—	—		对得上	0.0000	精灵图 多发射器(42)	
NecronGauss_Deathmark	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	1	—	—		两边都空	0.0000	精灵图 多发射器(15)	
NecronGauss_Double	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	11	—	—		两边都空	0.0000	精灵图 多发射器(24)	
NecronGauss_Hexmark	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	17	—	—		对得上	0.0000	精灵图 多发射器(50)	
NecronGauss_Imotekh_AA	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	11	—	—		两边都空	0.0000	精灵图 多发射器(18)	
NecronGauss_Large	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	4	—	—		两边都空	0.0000	精灵图 多发射器(12)	
NecronGauss_Tesla	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	4	—	—		两边都空	0.0000	精灵图 多发射器(14)	
NecronGauss_Tesla_Annihilation Barge	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	8	—	—		两边都空	0.0000	精灵图 多发射器(28) 抓屏扭曲	
NecronGauss_Trilinked	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	6	—	—		两边都空	0.0000	精灵图 多发射器(32)	
NecronGauss_Twinlinked	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	5	—	—		两边都空	0.0000	精灵图 多发射器(22)	
NephilimShadow_Flyover	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	精灵图 1发射器	
NoMukkinAboutEffect	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	7	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(14) Matcap/抓屏扭曲	
Orbital 3 repeat	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	精灵图 多发射器(8) 拖尾	
Orbital 4 repeat	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	精灵图 多发射器(8) 拖尾	
Orbital Bombardment Enemy Warlord	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	24	—	—		对得上	0.0000	Mesh粒子 精灵图 多发射器(25) Matcap/抓屏扭曲/拖尾	
Orbital Bombardment Target	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	24	—	—		对得上	0.0000	Mesh粒子 精灵图 多发射器(25) Matcap/抓屏扭曲/拖尾	
Ork_Rocket	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	1	—	—		两边都空	0.0000	Mesh粒子 精灵图 6发射器	
Ork_RocketDown	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	10	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(14)	
Ork_RocketUp	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	1	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(8)	
Ork_Squiggoth_Charge	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(12) Matcap	
Ork_StormboyzStrike	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(18) 抓屏扭曲	
Ork_Trampla_Charge	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(12) Matcap	
Pack_WhileInPlay	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	4	—	—		两边都空	0.0001	精灵图 6发射器	
Plasma_triple_Azrael_AA	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	21	—	—		偏亮	0.0001	精灵图 多发射器(20)	
Psychic_Lightning_Waaagh	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	精灵图 多发射器(19)	
Psychic_Lightning_Waaagh_Board	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	精灵图 多发射器(12)	
Psychic_Lightning_chaos	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	51	—	—		两边都空	0.0000	精灵图 多发射器(8)	
Railgun turret	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	精灵图 多发射器(18) 抓屏扭曲	
RiftCannon_Laser	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	38	—	—		两边都空	0.0000	精灵图 多发射器(15) 抓屏扭曲	
Rockfall	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(9) Matcap	
Scrapcode_aimed_target	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	51	—	—		两边都空	0.0000	精灵图 多发射器(10)	
ScytheAssaultShadow	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	精灵图 1发射器	
SkorchaAttackEffect	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	29	—	—		对得上	0.0001	精灵图 多发射器(13)	
SniperPreEffect	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	20	—	—		两边都空	0.0000	精灵图 5发射器	
Space Wolves Summon OLD	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	8	—	—		两边都空	0.0001	Mesh粒子 精灵图 多发射器(14) Matcap	
Squig_BigChompaJaws	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	42	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(10) Matcap	
Sword_Slash_EC	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	28	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(12) 抓屏扭曲	
Sword_Slash_EC 3x	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	12	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(12) 抓屏扭曲	
Tap Hit Metal	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	38	—	—		两边都空	0.0000	精灵图 2发射器	
Tap Hit Metal Small	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	51	—	—		两边都空	0.0000	精灵图 2发射器	
Tap Monolith Left Glow	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	4	—	—		两边都空	0.0000	精灵图 2发射器 Sprite	
Tap Monolith Right Glow	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	6	—	—		两边都空	0.0000	精灵图 2发射器 Sprite	
Tap Toxic Sludge	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	36	—	—		偏暗	0.0001	精灵图 4发射器 Matcap/抓屏扭曲	
Tau_AerialBombardment	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	19	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(20) Matcap/抓屏扭曲	
Tau_RailBombardment UNUSED	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	18	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(78) Matcap/抓屏扭曲	
Tau_Vespid_laser	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	10	—	—		两边都空	0.0000	精灵图 多发射器(8) UI/文字	
Thunderhawk Flyover	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	精灵图 3发射器	
UM_StormravenShadow	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(8) Matcap	
UM_StormravenShadow_Perpendicular	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(8) Matcap	
Valkyrie Flyover Hover Dust	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	精灵图 3发射器	
Valkyrie_MultiLaser_Hover	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	29	—	—		对得上	0.0002	精灵图 6发射器 抓屏扭曲	
WaystoneCollect	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	精灵图 5发射器	
Whip Attack EC Lucius	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	28	—	—		两边都空	0.0000	精灵图 多发射器(11) Matcap	
Whip Attack EC Maulerfiend	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	40	—	—		偏暗	0.0001	精灵图 多发射器(48) Matcap	
Whip Attack EC Normal	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	0	—	—		两边都空	0.0000	精灵图 多发射器(8) Matcap	
AlphaWarriorEffect	Z	对得上	0.99	0.009	高	1039	0.15–1.00s	0.15–1.00s		对得上	0.0002	Mesh粒子 精灵图 多发射器(14) Matcap/Sprite	
AmbushEffect	Z	对得上	1.33	0.282	高	836	0.50–1.50s	0.15–1.50s		对得上	0.0009	精灵图 多发射器(10)	
ArmourEffect	Z	对得上	1.00	0.001	高	865	0.15–1.00s	0.15–1.00s		两边都空	0.0000	精灵图 多发射器(12)	
ArmourEffect_Bladeguard_Shield	Z	对得上	1.02	0.018	高	875	0.15–2.00s	0.15–2.00s		对得上	0.0014	Mesh粒子 精灵图 多发射器(16)	
ArmourEffect_Nurgle	Z	对得上	1.00	0.003	高	956	0.15–1.50s	0.15–1.50s		对得上	0.0002	精灵图 多发射器(20)	
Atk_ExileGlaiveThrow Movement	Z	对得上	1.00	0.000	高	3121	0.15–0.15s	0.15–0.15s		两边都空	0.0000	Mesh粒子 精灵图 多发射器(12) 抓屏扭曲/拖尾	
Atk_GrotGrenade	Z	对得上	1.00	0.000	高	3121	0.15–0.15s	0.15–0.15s		两边都空	0.0000	Mesh粒子 精灵图 多发射器(10) 抓屏扭曲/拖尾	
Atk_GrotGrenade_big	Z	对得上	1.00	0.000	高	3121	0.15–0.15s	0.15–0.15s		两边都空	0.0000	Mesh粒子 精灵图 多发射器(14) 抓屏扭曲/拖尾	
Atk_GrotRock	Z	对得上	1.00	0.003	高	2400	0.15–0.15s	0.15–0.15s		两边都空	0.0000	Mesh粒子 精灵图 多发射器(10) Matcap/抓屏扭曲/拖尾	
Atk_HelspearThrow Movement	Z	对得上	1.00	0.000	高	3121	0.15–0.15s	0.15–0.15s		两边都空	0.0000	Mesh粒子 精灵图 多发射器(12) 抓屏扭曲/拖尾	
Atk_JainasMor	Z	对得上	1.01	0.012	高	4020	0.15–1.00s	0.15–1.00s		对得上	0.0042	Mesh粒子 精灵图 多发射器(15) 抓屏扭曲	
Atk_KrootJavelinThrow Movement	Z	对得上	1.00	0.001	高	3121	0.15–0.15s	0.15–0.15s		两边都空	0.0000	Mesh粒子 精灵图 多发射器(12) Matcap/抓屏扭曲/拖尾	
Atk_Rokkit-Harpoon big	Z	对得上	1.00	0.000	高	3039	0.15–1.00s	0.15–1.00s		两边都空	0.0000	Mesh粒子 精灵图 多发射器(25) Matcap/抓屏扭曲	
Atk_Rokkit-Harpoon small	Z	对得上	1.00	0.000	高	3039	0.15–1.00s	0.15–1.00s		两边都空	0.0000	Mesh粒子 精灵图 多发射器(23) Matcap/抓屏扭曲	
